REGISTRO DO COMPLEXO,REGISTRO DO GRUPO,NOME DO GRUPO,REGISTRO DA EMPRESA,NOME DA EMPRESA,NOME DO COMPLEXO,TOTAL SALAS DO COMPLEXO,Nº DE DIAS OBRIGAÇÃO PROPORCIONAL,OBRIGAÇÃO_TOTAL+INCREMENTO,OBRIGAÇÃO_PROP+INCREMENTO,OBRIGAÇÃO_TOTAL,OBG_FINAL,Nº DE DIAS VALIDADOS,Nº DE TÍTULOS DIFERENTES OBRIGAÇÃO,Nº DE TÍTULOS DIFERENTES DECLARADOS,CUMPRIU COTA,ANO,TRANSFERÊNCIA Dias Origem,TRANSFERÊNCIA Dias Recebidos,OBRIGAÇÃO_TOTAL_POR_SALA,OBRIGAÇÃO_TOTAL+INCREMENTO_POR_SALA,OBRIGAÇÃO_PROP_POR_SALA,OBRIGAÇÃO_PROP+INCREMENTO_POR_SALA,OBRIGAÇÃO_FINAL_POR_SALA,CUMPRIMENTO_PROPORCIONAL,DIAS_FUNC_INFERIDOS,CUMPRIMENTO_PROP_TRUNCADO,CUMPRIMENTO_LINEAR,CUMPRIMENTO_NORMALIZADO,CUMPRIMENTO_TRIWEIGHT
27468,6000018.0,CINEMARK,1843,CINEMARK BRASIL S.A,768 CINEMARK BH SHOPPING,10,540.780602,560.0,540.78,560,540.78,630.62,15,34,SIM,2018,0.0,0.0,56.0,56.0,54.0780602,54.077999999999996,54.077999999999996,1.1661304042309257,352.4730709464286,0.9724006887900692,0.8338695957690743,0.3934748255862776,0.9194662093060344
17609,6000018.0,CINEMARK,1843,CINEMARK BRASIL S.A,769 CINEMARK IGUATEMI BRASILIA,6,378.0,378.0,378.0,378,378.0,398.77,9,16,SIM,2018,0.0,0.0,63.0,63.0,63.0,63.0,63.0,1.0549470899470899,365.0,0.9969808173063465,0.9450529100529101,0.3983404949264106,0.9909697707902008
12976,6000018.0,CINEMARK,1843,CINEMARK BRASIL S.A,785 CINEMARK SALVADOR,10,551.281973,560.0,551.28,560,551.28,704.86,15,48,SIM,2018,0.0,0.0,56.0,56.0,55.1281973,55.128,55.128,1.2785880133507475,359.31771454464285,0.9223887188172838,0.7214119866492525,0.3837576007370243,0.7847691969489661
13479,6000018.0,CINEMARK,5422,CINESTAR CINEMAS LTDA (BAIXADA),CINEMARK FLAMBOYANT,8,191.572549,508.3,219.87,480,163.87,175.35,12,11,SIM,2018,56.0,0.0,60.0,63.5375,23.946568625,27.48375,20.48375,1.0700555318240068,145.67495913541666,0.9950922224608556,0.9299444681759932,0.39796452056742354,0.9853488080135822
6689,6000018.0,CINEMARK,5422,CINESTAR CINEMAS LTDA (BAIXADA),CINEMARK SHOPPING IGUATEMI SP,6,156.378158,378.0,156.38,378,62.38,70.52,9,7,SIM,2018,94.0,0.0,63.0,63.0,26.063026333333337,26.063333333333333,10.396666666666667,1.1304905418403333,151.0000732010582,0.9829722184902162,0.8695094581596667,0.3955601473939042,0.9497815543741306
17855,6000018.0,CINEMARK,1014,CIRCUITO ESPAÇO DE CINEMA S/A,CINESPAÇO NOVO HAMBURGO,5,280.0,297.09,297.09,280,250.09,265.43,8,11,SIM,2018,47.0,0.0,56.0,59.41799999999999,56.0,59.41799999999999,50.018,1.0613379183493943,365.0,0.9962376597725631,0.9386620816506057,0.3981925075526885,0.9887553916729568
19409,6000018.0,CINEMARK,1014,CIRCUITO ESPAÇO DE CINEMA S/A,CINESPAÇO SÃO GONÇALO,6,362.274139,401.03,385.3,378,385.3,453.6,9,20,SIM,2018,0.0,0.0,63.0,66.83833333333332,60.37902316666666,64.21666666666667,64.21666666666667,1.1772644692447445,349.814975489418,0.968577307943379,0.8227355307552555,0.3927233420611679,0.9086630542454943
22379,6000018.0,CINEMARK,1014,CIRCUITO ESPAÇO DE CINEMA S/A,CINESPAÇO WALLIG - PORTO ALEGRE,8,479.720339,560.23,559.95,480,385.95,414.08,12,21,SIM,2018,174.0,0.0,60.0,70.02875,59.965042375,69.99375,48.24375,1.0728850887420651,364.7873411145834,0.9946877638390613,0.9271149112579349,0.3978840486138358,0.984147801165749
18716,6000019.0,CINEMAXX,18569,IMPERIAL PARACAMBI CINEMAS EIRELI,IMPERIAL PARACAMBI,1,28.0,28.0,28.0,28,28.0,42.5,3,7,SIM,2018,0.0,0.0,28.0,28.0,28.0,28.0,28.0,1.5178571428571428,365.0,0.7318239795918369,0.4821428571428572,0.34888024841621007,0.3919402881560678
19509,6000019.0,CINEMAXX,3152,SUL FLUMINENSE CINEMAS LTDA,CINEMAXX GLÓRIA ITAPERUNA,1,28.0,28.0,28.0,28,28.0,37.75,3,7,SIM,2018,0.0,0.0,28.0,28.0,28.0,28.0,28.0,1.3482142857142858,365.0,0.8787468112244897,0.6517857142857142,0.37547434678598407,0.6785647359413867
