REGISTRO DO GRUPO,ANO,NOME DO GRUPO,REGISTRO DA EMPRESA,REGISTRO DO COMPLEXO,TOTAL SALAS DO COMPLEXO,Nº DE DIAS OBRIGAÇÃO PROPORCIONAL,OBRIGAÇÃO_TOTAL+INCREMENTO,OBRIGAÇÃO_PROP+INCREMENTO,OBRIGAÇÃO_TOTAL,OBG_FINAL,Nº DE DIAS VALIDADOS,Nº DE TÍTULOS DIFERENTES OBRIGAÇÃO,Nº DE TÍTULOS DIFERENTES DECLARADOS,TRANSFERÊNCIA Dias Origem,TRANSFERÊNCIA Dias Recebidos,OBRIGAÇÃO_TOTAL_POR_SALA,OBRIGAÇÃO_TOTAL+INCREMENTO_POR_SALA,OBRIGAÇÃO_PROP_POR_SALA,OBRIGAÇÃO_PROP+INCREMENTO_POR_SALA,OBRIGAÇÃO_FINAL_POR_SALA,CUMPRIMENTO_PROPORCIONAL,DIAS_FUNC_INFERIDOS,CUMPRIMENTO_PROP_TRUNCADO,CUMPRIMENTO_LINEAR,CUMPRIMENTO_NORMALIZADO,CUMPRIMENTO_TRIWEIGHT
14877.0,2017,,1,1,1,28.0,28.0,28.0,28,28.0,0.0,3,SEM ENVIO VÁLIDO NO SCB,0.0,0.0,28.0,28.0,28.0,28.0,28.0,0.0,365.0,0.0,0.0,0.24197072451914337,0.0
14882.0,2017,,1,1,3,116.679468,126.5,117.179468,126,117.18,42.0,5,8,0.0,0.0,42.0,42.166666666666664,38.893156,39.05982266666667,39.06,0.35842293906810035,338.0000461904762,0.5883788748859856,0.3584229390681004,0.3247339342581589,0.3584229390681004
15009.0,2017,,1,1,2,69.999996,70.0,69.999996,70,70.0,49.0,4,9,0.0,0.0,35.0,35.0,34.999998,34.999998,35.0,0.7,364.9999791428571,0.9099999999999999,0.7,0.3813878154605241,0.7
15052.0,2017,,1,1,1,28.0,28.0,28.0,28,28.0,26.5,3,7,0.0,0.0,28.0,28.0,28.0,28.0,28.0,0.9464285714285714,365.0,0.9971301020408163,0.9464285714285714,0.3983702291136187,0.9464285714285714
15085.0,2017,,1,1,1,28.0,28.0,28.0,28,28.0,30.0,3,4,0.0,0.0,28.0,28.0,28.0,28.0,28.0,1.0714285714285714,365.0,0.9948979591836735,0.9285714285714286,0.3979258674986881,0.9285714285714286
15121.0,2017,,1,1,1,28.0,28.0,28.0,28,28.0,29.0,3,6,0.0,0.0,28.0,28.0,28.0,28.0,28.0,1.0357142857142858,365.0,0.9987244897959183,0.9642857142857142,0.39868793404065245,0.9642857142857142
15269.0,2017,,1,1,1,28.0,28.0,28.0,28,28.0,33.0,3,6,0.0,0.0,28.0,28.0,28.0,28.0,28.0,1.1785714285714286,365.0,0.9681122448979592,0.8214285714285714,0.3926320321210658,0.8214285714285714
15294.0,2017,,1,1,1,28.0,28.0,28.0,28,28.0,33.5,3,10,0.0,0.0,28.0,28.0,28.0,28.0,28.0,1.1964285714285714,365.0,0.9614158163265306,0.8035714285714286,0.3913196142962197,0.8035714285714286
15373.0,2017,,1,1,2,69.999996,70.0,69.999996,70,70.0,8.5,4,6,0.0,0.0,35.0,35.0,34.999998,34.999998,35.0,0.12142857142857143,364.9999791428571,0.22811224489795923,0.12142857142857144,0.27120442389392874,0.12142857142857144
15565.0,2017,,1,1,4,195.999989,196.5,196.499989,196,196.5,51.0,6,11,0.0,0.0,49.0,49.125,48.99999725,49.12499725,49.125,0.2595419847328244,364.9999795153061,0.45172192762659513,0.2595419847328244,0.30328644124510057,0.2595419847328244
15617.0,2017,,1,1,3,126.0,126.0,126.0,126,126.0,29.5,5,10,0.0,0.0,42.0,42.0,42.0,42.0,42.0,0.23412698412698413,365.0,0.41343852355757127,0.23412698412698418,0.29753623252094324,0.23412698412698418
15619.0,2017,,1,1,1,4.60274,28.0,4.60274,28,4.6,0.0,3,0,0.0,0.0,28.0,28.0,4.60274,4.60274,4.6,0.0,60.00000357142857,0.0,0.0,0.24197072451914337,0.0
15645.0,2017,,1,1,1,28.0,28.0,28.0,28,28.0,11.5,3,3,0.0,0.0,28.0,28.0,28.0,28.0,28.0,0.4107142857142857,365.0,0.6527423469387754,0.4107142857142857,0.33535441212874034,0.4107142857142857
15661.0,2017,,1,1,1,28.0,28.0,28.0,28,28.0,20.5,3,4,0.0,0.0,28.0,28.0,28.0,28.0,28.0,0.7321428571428571,365.0,0.9282525510204082,0.7321428571428571,0.384884396854388,0.7321428571428571
15690.0,2017,,1,1,4,195.999989,196.0,195.999989,196,196.0,217.0,6,15,0.0,0.0,49.0,49.0,48.99999725,48.99999725,49.0,1.1071428571428572,364.9999795153061,0.9885204081632653,0.8928571428571428,0.39665899220148865,0.8928571428571428
15798.0,2017,,1,1,1,28.0,28.0,28.0,28,28.0,26.0,3,19,0.0,0.0,28.0,28.0,28.0,28.0,28.0,0.9285714285714286,365.0,0.9948979591836735,0.9285714285714286,0.3979258674986881,0.9285714285714286
16187.0,2017,,1,1,6,378.0,380.0,380.0,378,380.0,164.5,9,14,0.0,0.0,63.0,63.333333333333336,63.0,63.333333333333336,63.333333333333336,0.4328947368421053,365.0,0.6783916204986149,0.4328947368421052,0.339682907018277,0.4328947368421052
16209.0,2017,,1,1,2,69.999996,70.0,69.999996,70,70.0,113.5,4,7,0.0,0.0,35.0,35.0,34.999998,34.999998,35.0,1.6214285714285714,364.9999791428571,0.6138265306122449,0.37857142857142856,0.3288921913122502,0.37857142857142856
16226.0,2017,,1,1,2,69.999996,70.0,69.999996,70,70.0,18.0,4,10,0.0,0.0,35.0,35.0,34.999998,34.999998,35.0,0.2571428571428571,364.9999791428571,0.4481632653061224,0.2571428571428571,0.3027472740504621,0.2571428571428571
16469.0,2017,,1,1,3,126.0,126.0,126.0,126,126.0,0.0,5,SEM ENVIO VÁLIDO NO SCB,0.0,0.0,42.0,42.0,42.0,42.0,42.0,0.0,365.0,0.0,0.0,0.24197072451914337,0.0
16520.0,2017,,1,1,2,69.999996,70.0,69.999996,70,70.0,0.0,4,SEM ENVIO VÁLIDO NO SCB,0.0,0.0,35.0,35.0,34.999998,34.999998,35.0,0.0,364.9999791428571,0.0,0.0,0.24197072451914337,0.0
16522.0,2017,,1,1,1,28.0,28.0,28.0,28,28.0,0.0,3,SEM ENVIO VÁLIDO NO SCB,0.0,0.0,28.0,28.0,28.0,28.0,28.0,0.0,365.0,0.0,0.0,0.24197072451914337,0.0
16615.0,2017,,1,1,2,69.999996,70.0,69.999996,70,70.0,29.5,4,5,0.0,0.0,35.0,35.0,34.999998,34.999998,35.0,0.42142857142857143,364.9999791428571,0.6652551020408164,0.4214285714285715,0.3374590929180804,0.4214285714285715
16643.0,2017,,2,2,2,56.0,56.0,56.0,56,56.0,0.0,6,SEM ENVIO VÁLIDO NO SCBSEM ENVIO VÁLIDO NO SCB,0.0,0.0,28.0,28.0,28.0,28.0,28.0,0.0,365.0,0.0,0.0,0.24197072451914337,0.0
16817.0,2017,,1,1,1,28.0,28.0,28.0,28,28.0,3.5,3,13,0.0,0.0,28.0,28.0,28.0,28.0,28.0,0.125,365.0,0.234375,0.125,0.2720549983785435,0.125
16852.0,2017,,1,1,1,28.0,28.0,28.0,28,28.0,0.0,3,SEM ENVIO VÁLIDO NO SCB,0.0,0.0,28.0,28.0,28.0,28.0,28.0,0.0,365.0,0.0,0.0,0.24197072451914337,0.0
17036.0,2017,,1,1,1,28.0,28.0,28.0,28,28.0,0.0,3,SEM ENVIO VÁLIDO NO SCB,0.0,0.0,28.0,28.0,28.0,28.0,28.0,0.0,365.0,0.0,0.0,0.24197072451914337,0.0
17293.0,2017,,1,1,1,28.0,28.0,28.0,28,28.0,12.0,3,5,0.0,0.0,28.0,28.0,28.0,28.0,28.0,0.42857142857142855,365.0,0.6734693877551021,0.4285714285714286,0.33884793575678757,0.4285714285714286
17555.0,2017,,1,1,1,28.0,28.0,28.0,28,28.0,0.0,3,0,0.0,0.0,28.0,28.0,28.0,28.0,28.0,0.0,365.0,0.0,0.0,0.24197072451914337,0.0
17594.0,2017,,1,1,1,26.619179,28.0,26.619179,28,26.62,0.0,3,SEM ENVIO VÁLIDO NO SCB,0.0,0.0,28.0,28.0,26.619179,26.619179,26.62,0.0,347.0000119642857,0.0,0.0,0.24197072451914337,0.0
17832.0,2017,,1,1,1,28.0,28.0,28.0,28,28.0,9.0,3,3,0.0,0.0,28.0,28.0,28.0,28.0,28.0,0.32142857142857145,365.0,0.5395408163265305,0.3214285714285714,0.31690028116770225,0.3214285714285714
17853.0,2017,,1,1,2,69.999996,70.0,69.999996,70,70.0,30.0,4,26,0.0,0.0,35.0,35.0,34.999998,34.999998,35.0,0.42857142857142855,364.9999791428571,0.6734693877551021,0.4285714285714286,0.33884793575678757,0.4285714285714286
17932.0,2017,,1,1,1,28.0,28.0,28.0,28,28.0,17.5,3,4,0.0,0.0,28.0,28.0,28.0,28.0,28.0,0.625,365.0,0.859375,0.625,0.37185509386976895,0.625
18125.0,2017,,1,1,1,28.0,28.0,28.0,28,28.0,12.5,3,4,0.0,0.0,28.0,28.0,28.0,28.0,28.0,0.44642857142857145,365.0,0.6935586734693877,0.4464285714285714,0.34226869363860024,0.4464285714285714
18802.0,2017,,1,1,1,28.0,28.0,28.0,28,28.0,80.0,3,31,0.0,0.0,28.0,28.0,28.0,28.0,28.0,2.857142857142857,365.0,0.0,0.0,0.07111703852909346,0.0
18872.0,2017,,1,1,1,17.490411,28.0,17.490411,28,17.49,24.5,3,7,0.0,0.0,28.0,28.0,17.490411,17.490411,17.49,1.4008004574042312,228.0000005357143,0.8393589933445591,0.5991995425957688,0.36815212741062864,0.5991995425957688
19238.0,2017,,1,1,4,195.999989,196.0,195.999989,196,196.0,239.0,6,22,0.0,0.0,49.0,49.0,48.99999725,48.99999725,49.0,1.219387755102041,364.9999795153061,0.9518690129112869,0.7806122448979591,0.38945613967590714,0.7806122448979591
19369.0,2017,,1,1,3,126.0,126.0,126.0,126,126.0,131.0,5,10,0.0,0.0,42.0,42.0,42.0,42.0,42.0,1.0396825396825398,365.0,0.9984252960443436,0.9603174603174602,0.3986282960322469,0.9603174603174602
19403.0,2017,,1,1,2,69.999996,70.0,69.999996,70,44.0,0.0,4,SEM ENVIO VÁLIDO NO SCB,26.0,0.0,35.0,35.0,34.999998,34.999998,22.0,0.0,364.9999791428571,0.0,0.0,0.24197072451914337,0.0
19448.0,2017,,1,1,1,28.0,28.0,28.0,28,28.0,7.0,3,5,0.0,0.0,28.0,28.0,28.0,28.0,28.0,0.25,365.0,0.4375,0.25,0.30113743215480443,0.25
19475.0,2017,,1,1,1,28.0,28.0,28.0,28,28.0,9.0,3,3,0.0,0.0,28.0,28.0,28.0,28.0,28.0,0.32142857142857145,365.0,0.5395408163265305,0.3214285714285714,0.31690028116770225,0.3214285714285714
19490.0,2017,,1,1,1,28.0,28.0,28.0,28,28.0,21.0,3,2,0.0,0.0,28.0,28.0,28.0,28.0,28.0,0.75,365.0,0.9375,0.75,0.3866681168028493,0.75
19500.0,2017,,1,1,4,195.999989,196.0,195.999989,196,196.0,169.5,6,19,0.0,0.0,49.0,49.0,48.99999725,48.99999725,49.0,0.8647959183673469,364.9999795153061,0.9817198563098709,0.8647959183673469,0.39531253264350824,0.8647959183673469
19525.0,2017,,1,1,1,28.0,28.0,28.0,28,28.0,22.5,3,3,0.0,0.0,28.0,28.0,28.0,28.0,28.0,0.8035714285714286,365.0,0.9614158163265306,0.8035714285714286,0.3913196142962197,0.8035714285714286
19535.0,2017,,2,2,4,62.482198,154.0,62.482198,154,62.480000000000004,47.5,8,23,0.0,0.0,38.5,38.5,15.6205495,15.6205495,15.620000000000001,0.7602432778489117,148.09092383116882,0.9425167141833658,0.7602432778489117,0.3876392359633976,0.7602432778489117
